Alpha,Gamma,Epsilon,Average Reward
0.1,0.1,0.1,-0.135
0.1,0.1,0.2,-0.095
0.1,0.1,0.3,-0.105
0.1,0.1,0.4,-0.08
0.1,0.1,0.5,-0.111
0.1,0.1,0.6,-0.089
0.1,0.1,0.7,-0.115
0.1,0.1,0.8,-0.119
0.1,0.1,0.9,-0.092
0.1,0.1,1.0,-0.148
0.1,0.2,0.1,-0.107
0.1,0.2,0.2,-0.092
0.1,0.2,0.3,-0.101
0.1,0.2,0.4,-0.125
0.1,0.2,0.5,-0.123
0.1,0.2,0.6,-0.14
0.1,0.2,0.7,-0.153
0.1,0.2,0.8,-0.154
0.1,0.2,0.9,-0.097
0.1,0.2,1.0,-0.182
0.1,0.3,0.1,-0.107
0.1,0.3,0.2,-0.148
0.1,0.3,0.3,-0.197
0.1,0.3,0.4,-0.097
0.1,0.3,0.5,-0.145
0.1,0.3,0.6,-0.151
0.1,0.3,0.7,-0.139
0.1,0.3,0.8,-0.184
0.1,0.3,0.9,-0.15
0.1,0.3,1.0,-0.128
0.1,0.4,0.1,-0.131
0.1,0.4,0.2,-0.095
0.1,0.4,0.3,-0.164
0.1,0.4,0.4,-0.132
0.1,0.4,0.5,-0.144
0.1,0.4,0.6,-0.162
0.1,0.4,0.7,-0.157
0.1,0.4,0.8,-0.152
0.1,0.4,0.9,-0.096
0.1,0.4,1.0,-0.164
0.1,0.5,0.1,-0.106
0.1,0.5,0.2,-0.082
0.1,0.5,0.3,-0.175
0.1,0.5,0.4,-0.123
0.1,0.5,0.5,-0.141
0.1,0.5,0.6,-0.155
0.1,0.5,0.7,-0.148
0.1,0.5,0.8,-0.115
0.1,0.5,0.9,-0.145
0.1,0.5,1.0,-0.173
0.1,0.6,0.1,-0.157
0.1,0.6,0.2,-0.105
0.1,0.6,0.3,-0.09
0.1,0.6,0.4,-0.094
0.1,0.6,0.5,-0.104
0.1,0.6,0.6,-0.154
0.1,0.6,0.7,-0.092
0.1,0.6,0.8,-0.154
0.1,0.6,0.9,-0.15
0.1,0.6,1.0,-0.161
0.1,0.7,0.1,-0.096
0.1,0.7,0.2,-0.138
0.1,0.7,0.3,-0.122
0.1,0.7,0.4,-0.214
0.1,0.7,0.5,-0.122
0.1,0.7,0.6,-0.096
0.1,0.7,0.7,-0.225
0.1,0.7,0.8,-0.162
0.1,0.7,0.9,-0.171
0.1,0.7,1.0,-0.109
0.1,0.8,0.1,-0.109
0.1,0.8,0.2,-0.194
0.1,0.8,0.3,-0.095
0.1,0.8,0.4,-0.08
0.1,0.8,0.5,-0.171
0.1,0.8,0.6,-0.138
0.1,0.8,0.7,-0.104
0.1,0.8,0.8,-0.109
0.1,0.8,0.9,-0.127
0.1,0.8,1.0,-0.162
0.1,0.9,0.1,-0.121
0.1,0.9,0.2,-0.128
0.1,0.9,0.3,-0.141
0.1,0.9,0.4,-0.128
0.1,0.9,0.5,-0.076
0.1,0.9,0.6,-0.135
0.1,0.9,0.7,-0.167
0.1,0.9,0.8,-0.134
0.1,0.9,0.9,-0.112
0.1,0.9,1.0,-0.151
0.1,1.0,0.1,-0.074
0.1,1.0,0.2,-0.113
0.1,1.0,0.3,-0.09
0.1,1.0,0.4,-0.097
0.1,1.0,0.5,-0.094
0.1,1.0,0.6,-0.112
0.1,1.0,0.7,-0.126
0.1,1.0,0.8,-0.151
0.1,1.0,0.9,-0.117
0.1,1.0,1.0,-0.174
0.2,0.1,0.1,-0.105
0.2,0.1,0.2,-0.151
0.2,0.1,0.3,-0.136
0.2,0.1,0.4,-0.111
0.2,0.1,0.5,-0.091
0.2,0.1,0.6,-0.124
0.2,0.1,0.7,-0.132
0.2,0.1,0.8,-0.14
0.2,0.1,0.9,-0.152
0.2,0.1,1.0,-0.171
0.2,0.2,0.1,-0.114
0.2,0.2,0.2,-0.144
0.2,0.2,0.3,-0.13
0.2,0.2,0.4,-0.143
0.2,0.2,0.5,-0.097
0.2,0.2,0.6,-0.144
0.2,0.2,0.7,-0.162
0.2,0.2,0.8,-0.115
0.2,0.2,0.9,-0.121
0.2,0.2,1.0,-0.136
0.2,0.3,0.1,-0.121
0.2,0.3,0.2,-0.11
0.2,0.3,0.3,-0.113
0.2,0.3,0.4,-0.098
0.2,0.3,0.5,-0.173
0.2,0.3,0.6,-0.142
0.2,0.3,0.7,-0.193
0.2,0.3,0.8,-0.185
0.2,0.3,0.9,-0.182
0.2,0.3,1.0,-0.157
